PRIMARY_STREET,CROSS_STREET,CITY_COUNTY,STATIONID,AGENCY,LOCATION_SOURCE,NOTES,TDOT_ID,STATUS,PREVIOUS_STATION,PRIMARY_ST_ALPHABETICAL,Longitude,Latitude,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Maloney Rd,E of Alcoa Hwy,Knox,47000529,TDOT,TDOT,,93000529,ACTIVE,093M259,Maloney Rd,-83.94956441,35.90547373,,,,,,,,,,,,,,,,,,825,621,1010,1089,967,1015,2047
Jacksboro Pk,E of N Broadway,Knox,47000530,TDOT,TDOT,,93000530,ACTIVE,,Jacksboro Pk,-83.92515933,36.04842305,,,,,,,,,,,,,,,,,,5408,5462,5809,5960,5616,5858,5788
Nubbin Ridge Rd,W of Davis Ln,Knox,47000531,TDOT,TDOT,,93000531,ACTIVE,093M010,Nubbin Ridge Rd,-84.05238965,35.89474672,,,,,,,,,,,,,,,,,,2003,2023,1513,1717,1813,2088,1830
North Winston Rd,S of I-40,Knox,47000532,TDOT,TDOT,,93000532,ACTIVE,,North Winston Rd,-84.04516263,35.92681879,,,,,,,,,,,,,,,,,,5000,5050,5450,4855,5981,4363,4497
Downtown West Blvd,S of Kingston Pk,Knox,47000533,TDOT,TDOT,,93000533,ACTIVE,,Downtown West Blvd,-84.05088164,35.92309578,,,,,,,,,,,,,,,,,,10080,9696,10448,9057,12654,8208,7977
Ailor Ave,E of N Twenty First St,Knox,47000534,TDOT,TDOT,,93000534,ACTIVE,,Ailor Ave,-83.94079338,35.96412986,,,,,,,,,,,,,,,,,,10339,10442,9812,9006,8585,8457,8129
N Twenty First St,S of Western Ave,Knox,47000535,TDOT,TDOT,,93000535,ACTIVE,,N Twenty First St,-83.94437539,35.96571387,,,,,,,,,,,,,,,,,,3076,2872,3517,2997,2948,3218,3319
Dale Ave,E of N Seventeenth St,Knox,47000536,TDOT,TDOT,,93000536,ACTIVE,,Dale Ave,-83.93445637,35.96355486,,,,,,,,,,,,,,,,,,6962,7032,7496,7595,7834,6701,7129
Coward Mill Rd,E of Pellissippi Pkwy,Knox,093M313,TPO,TPO,,,ACTIVE,,Coward Mill Rd,-84.16234395,35.95744385,270,,400,,,,529,,680,,800,,630,,720,,1010,,,,780,,,1320
Reagan Rd,N of Hardin Valley Rd,Knox,093M335,TPO,TPO,,,ACTIVE,,Reagan Rd,-84.14910394,35.95954486,,300,,500,,800,,1470,,1370,,1310,,,,1380,,1510,,,1370,,,1320
Cunningham Rd,E of Dry Gap Pk,Knox,093M091,TPO,TPO,,,ACTIVE,,Cunningham Rd,-83.9690219,36.05697588,9187,7800,8240,8660,8000,10080,10270,11070,10980,10780,8990,9120,9220,8930,9290,9650,9480,9700,10150,,,8570,9110,
The Gallery,S of Kingston Pk,Knox,093C046,Knoxville,TPO,,,INACTIVE,,The Gallery,-84.03331527,35.92860268,3107,,3121,,2871,,3303,,793,,,,,,,,,,,,,,,
Morrell Rd,S of Gleason Dr,Knox,093C054,TPO,TPO,,,ACTIVE,,Morrell Rd,-84.03252791,35.92143685,20085,,22825,,19883,,21225,,19143,,16792,,18380,,19730,,,,18300,,,18370,18320,
Gleason Dr,W of Morrell Rd,Knox,093C045,Knoxville,TPO,,,INACTIVE,,Gleason Dr,-84.03425691,35.92253594,11159,,12202,,11134,,11791,,12211,,13072,,,,,,,,,,,,,
Morrell Rd,N of Westland Dr,Knox,093C056,Knoxville,TPO,,,INACTIVE,,Morrell Rd,-84.02915259,35.91551162,21613,,20721,,21557,,22162,,20126,,20026,,,,,,,,,,,,,
Nubbin Ridge Rd,E of Morrell Rd,Knox,093C055,Knoxville,TPO,,,INACTIVE,,Nubbin Ridge Rd,-84.02525215,35.91140481,1463,,1321,,1218,,1176,,1001,,,,,,,,,,,,,,,
Alcoa Hwy SB EX,N of Neyland Dr,Knox,093C094,Knoxville,TPO,,,INACTIVE,,Alcoa Hwy SB EX,-83.94546484,35.94920949,2084,,1496,,1382,,1810,,,,,,,,,,,,,,,,,
Alcoa Hwy NB EX,N of Neyland Dr,Knox,093C095,Knoxville,TPO,,,INACTIVE,,Alcoa Hwy NB EX,-83.94325193,35.94763156,4537,,5651,,4775,,4184,,,,,,,,,,,,,,,,,
Concord St,N of Tyson Park En,Knox,093C096,Knoxville,TPO,,,INACTIVE,,Concord St,-83.94857011,35.95505845,12169,,12534,,9323,,11216,,9165,,8662,,,,,,,,,,,,,
Alcoa Hwy SB EX,N of Kingston Pk,Knox,093C097,Knoxville,TPO,,,INACTIVE,,Alcoa Hwy SB EX,-83.94311049,35.95310314,6759,,,,4963,,5323,,6448,,5899,,,,,,,,,,,,,
Alcoa Hwy NB EX,S of Kingston Pk,Knox,093C098,Knoxville,TPO,,,INACTIVE,,Alcoa Hwy NB EX,-83.94185531,35.95229457,6840,,,,4609,,5210,,6358,,6494,,,,,,,,,,,,,
Volunteer Blvd W,S of Cumberland Ave,Knox,093C099,TPO,TPO,,,ACTIVE,,Volunteer Blvd,-83.93967328,35.95329479,17040,,,,11287,,11939,,12868,,12653,,9920,,8580,,,,6780,,,11220,,12120
22nd St,S of White Ave,Knox,093C100,Knoxville,TPO,,,REPLACED,,22nd St,-83.9393023,35.95439923,8729,,7798,,7136,,7261,,9085,,10372,,,,,,,,,,,,,
19th St,N of Clinch Ave,Knox,093C101,Knoxville,TPO,,,INACTIVE,,19th St,-83.93644084,35.9576029,4918,,4219,,4457,,4661,,,4845,,,,,,,,,,,,,,
Byington-Solway Rd,S of Coward Mill Rd,Knox,093M306,TPO,TPO,,,ACTIVE,,Byington-Solway Rd,-84.13365894,35.96824386,1733,,1960,,1940,,2192,,2250,,1210,,1160,,1310,,1440,,1180,,1110,,,1240
Hickey Rd,W of Chesney Rd,Knox,093M322,TPO,TPO,,,ACTIVE,,Hickey Rd,-84.12706294,35.94078685,1508,,1500,,1430,,1758,,2060,,2150,,2140,,2180,,2400,,2730,,3370,,3460,
Weaver Rd,S of Meredith Rd,Knox,093M347,TPO,TPO,,,ACTIVE,,Weaver Rd,-84.06155892,35.99518587,,1940,,1760,,1900,,1960,,1870,,2010,,1870,,2290,,2770,,,3220,,,3760
19th St,N of White Ave,Knox,093C102,Knoxville,TPO,,,INACTIVE,,19th St,-83.93595135,35.95673394,3613,,3592,,3314,,3428,,3076,,,,,,,,,,,,,,,
Clinch Ave,W of 19th St,Knox,093C103,Knoxville,TPO,,,INACTIVE,,Clinch Ave,-83.93694927,35.95689914,5849,,4769,,4469,,4811,,4759,,6946,,,,,,,,,,,,,
Champan Hwy,E of Pickens Gap Rd,Blount,15000190,TDOT,TDOT,,,INACTIVE,,Chapman Hwy,-83.7905379,35.88368311,,20236,19584,21423,21601,22194,23283,21522,23141,22975,23197,,,,,,,,,,,,,
Ebenezer Rd,400' N of Gleason Dr,Knox,093M066,TPO,TPO,,,REPLACED,,Ebenezer Rd,-84.07417203,35.90638468,5583,5380,5880,7750,7050,8820,8003,9010,8660,8160,7950,8030,,,,,,,,,,,,
Campbell Station Rd,N of Kingston Pk,Knox,093M070,TPO,TPO,,,ACTIVE,,Campbell Station Rd,-84.16126058,35.88264831,20168,,17680,17740,16460,18050,18602,20280,22790,19810,22020,18200,19310,23300,21460,21500,23280,22540,24330,,,19200,23900,24010
Peterson Rd,200' S of Kingston Pk,Knox,093M074,TPO,TPO,,,REPLACED,,Peterson Rd,-84.17825784,35.87200734,2539,2680,2600,2540,2180,2410,2520,2410,2450,2020,2110,2030,1960,2120,,2160,,2550,,,,,,
Smith Rd,200' E of Andover Pl,Knox,093M076,TPO,TPO,,,REPLACED,,Smith Rd,-84.19582265,35.8801154,2880,3060,3680,4110,4060,4950,5230,5170,4820,4750,4470,4440,,,,,,,,,,,,
Westland Dr,W of I-140,Knox,093M085,TPO,TPO,,,ACTIVE,,Westland Dr,-84.09784092,35.87363084,5453,6860,7110,6610,7210,9140,8391,7680,8390,8410,8810,8570,8640,10000,10870,11130,11710,11520,12940,,12900,11140,,14150
Dry Gap Pk,S of Beaver Creek Dr,Knox,093M088,TPO,TPO,,,ACTIVE,,Dry Gap Pk,-83.9664929,36.05261788,4731,4680,4580,5660,5320,6580,6893,6760,5960,6860,5560,4090,5740,4490,7120,6600,6150,7010,7440,,7790,5990,7150,
Dry Gap Pk,S of Jim Sterchi Rd,Knox,093M089,TPO,TPO,,,ACTIVE,,Dry Gap Pk,-83.9733779,36.02738987,3502,3670,5240,4170,4010,4540,4698,4530,3700,4510,3890,3630,3740,3520,3690,4120,3780,4310,4510,,5100,4440,4270,
Deane Hill Dr,E of Morrell Rd,Knox,093C057,TPO,TPO,,,ACTIVE,,Deane Hill Dr,-84.0293889,35.91921085,8767,,9219,,10339,,9606,,7651,,7006,,,,,,7400,,7550,,8100,,7180,
Snyder Dr,E of Campbell Station Rd,Knox,093M067,TPO,TPO,Moved 2016,,ACTIVE,,Outlets Dr/Snyder Dr,-84.17368695,35.90100184,5346,5050,4190,6170,4310,4310,4134,3960,4050,4010,4450,3760,3870,3770,5770,6150,7690,7480,7700,,6070,6410,8680,9110
Campbell Station Rd,N of Grigsby Chapel Rd,Knox,093M068,TPO,TPO,,,ACTIVE,,Campbell Station Rd,-84.17421095,35.89485884,26915,,25580,24510,22970,26920,26892,27040,29920,28800,32040,29150,27460,36430,32880,32430,34030,39800,38640,,35580,,35060,35850
Old Stage Rd,400' S of Kingston Pk,Knox,093M079,TPO,TPO,,,REPLACED,,Old Stage Rd,-84.1997977,35.86415158,3841,4590,4400,4580,4390,5320,5511,5470,4190,5400,5630,5680,,,,,,,,,,,,
Sherrill Ln,600' E of Hospital Exit,Knox,093M083,TPO,TPO,,,REPLACED,,Sherrill Ln,-84.10207588,35.91928866,5799,4390,5130,5320,4910,6380,5419,4910,6210,4820,4680,4880,,,,,,,,,,,,
Clark Dr,W of Hill Rd,Knox,093M201,TPO,TPO,,,INACTIVE,,Clark Dr,-83.96588947,36.14717284,,57,,58,,40,,16030,,,,,,,,,,,,,,,,
Texas Valley Rd,E of Maynardville Hwy,Knox,093M214,TPO,TPO,,,ACTIVE,,Texas Valley Rd,-83.910979,36.1464202,,910,,890,,900,,870,,940,,960,,850,,800,,,,,,660,,1000
Jim Wolfe Rd,N of Emory Rd,Knox,093M231,TPO,TPO,,,INACTIVE,,Jim Wolfe Rd,-83.79636536,36.14470976,,720,,830,,920,,1020,,968,,1120,,890,,,,,,,,,,
Thompson School Rd,N of Emory Rd,Knox,093M218,TPO,TPO,,,REPLACED,,Thompson School Rd,-83.86318443,36.12476427,,2380,,2100,,2620,,2640,,2740,,2820,,2630,,2580,,3040,,,,,,
Old Maynardville Pk,E of Maynardville Pk,Knox,093M215,TPO,TPO,,,ACTIVE,,Old Maynardville Pk,-83.91446477,36.12307785,,880,,800,,800,,770,,800,,,,790,,730,,,,,,760,,760
W Copeland Dr,W of Heiskel Rd W of Foxworth Sub,Knox,093M212,TPO,TPO,Moved 2016,,REPLACED,,Copeland Dr (W),-84.02813592,36.05472888,,1720,,530,,560,,510,,550,,520,,510,,610,,1410,,,,,,
4693,CATE RD - SEVIERVILLE,Sevier,78000123,TDOT,TDOT,,155000123,ACTIVE,,,-83.57354177,35.84347285,,,1443,1485,1660,1604,1712,1667,1679,1882,1735,1610,1877,2070,2221,2663,2626,2810,3123,2852,2912,2761,3034,3083
SR035,NEWPORT PKWY - SEVIERVILLE,Sevier,78000124,TDOT,TDOT,,155000124,ACTIVE,,,-83.50745875,35.86494486,,,16434,17895,18768,20327,18877,20648,20399,18868,20319,20045,18896,18860,18858,18681,19978,21531,22091,22547,23398,20874,22941,23022
Bob Gray Rd,W of Hickey Rd,Knox,47000584,TDOT,TDOT,,93000584,ACTIVE,093M359,Bob Gray Rd,-84.13553984,35.93263281,,,,,,,,,,,,,,,,,,2862,2891,2903,3227,3286,3369,2995
Bradshaw Gardens Dr,S of Clinton Hwy,Knox,47000585,TDOT,TDOT,,93000585,ACTIVE,,Bradshaw Gardens Dr,-83.97759846,35.99906994,,,,,,,,,,,,,,,,,,,3199,2801,3638,3054,3493,3170
Adair Dr,W of N Broadway,Knox,47000586,TDOT,TDOT,,93000586,ACTIVE,,Adair Dr,-83.92952635,36.02368899,,,,,,,,,,,,,,,,,,4946,4995,5611,5486,5269,5453,5494
1203,ROCKWOOD,Roane,73000172,TDOT,TDOT,,145000172,ACTIVE,,,-84.6756881,35.88215582,,222,258,280,295,324,348,349,381,428,469,350,402,360,358,366,370,373,379,112,352,263,288,367
3700,ROCKWOOD,Roane,73000173,TDOT,TDOT,,145000173,ACTIVE,,,-84.7024401,35.86430381,,203,209,200,234,208,273,209,215,134,215,191,161,220,164,175,141,142,228,121,104,124,149,147
SR327,NORTH OF SR 95,Roane,73000174,TDOT,TDOT,,145000174,ACTIVE,,,-84.37536601,35.93814584,2957,3095,2883,3172,2974,3481,3844,3131,3683,2828,3420,3306,3108,3042,3115,2349,2279,2131,2152,2485,2985,3358,2344,2712
3725,NW OAK RIDGE - NEBRASKA AVE,Roane,73000175,TDOT,TDOT,,145000175,ACTIVE,,,-84.324257,35.98947585,2285,2234,2256,2334,2388,2459,2167,2134,2117,2182,1711,1350,1921,1998,2012,2102,1946,1860,2202,2048,1990,1883,1862,1830
0B174,N. WEST OAK RIDGE,Roane,73000176,TDOT,TDOT,,145000176,ACTIVE,,,-84.32776,35.98296185,1378,1358,1546,1641,1572,1576,1473,1515,1473,1319,1411,1500,1516,1303,1505,1382,1198,1209,1389,1120,1423,1346,1171,1225
0E398,OAK RIDGE,Roane,73000178,TDOT,TDOT,,145000178,ACTIVE,,,-84.345899,35.93231884,690,862,585,489,521,536,519,521,503,518,534,501,570,461,509,427,432,436,398,461,544,651,412,375
2363,DOG WOOD RD.,Roane,73000179,TDOT,TDOT,,145000179,ACTIVE,,,-84.55417905,35.7734428,,,791,815,928,762,701,805,763,794,851,870,600,629,582,581,514,519,813,957,1340,961,846,821
1253,ABEL VALLEY RD.,Roane,73000180,TDOT,TDOT,,145000180,ACTIVE,,,-84.6981591,35.82985081,,,1232,1268,1304,1340,992,1016,1071,1052,1101,1208,1254,1279,969,1062,1114,1071,1144,996,1042,863,1033,997
5323,MORGAN AVE-NE,Roane,73000183,TDOT,TDOT,,145000183,ACTIVE,,,-84.54851406,35.93002683,,,1120,113,326,335,366,294,334,283,292,282,248,222,276,259,277,279,240,156,233,220,230,128
5410,LAWNVILLE RD,Roane,73000184,TDOT,TDOT,,145000184,ACTIVE,,,-84.48846104,35.86534882,,,,,729,750,729,643,675,602,576,611,569,583,676,597,663,669,662,804,1241,1001,1096,742
1276,NEAR CLAIBORNE CO LINE,Union,87000001,TDOT,TDOT,,173000001,ACTIVE,,,-83.75549285,36.36001895,870,966,791,955,875,959,856,874,806,730,656,676,696,730,819,716,765,792,788,844,865,1008,827,952
1090,NEAR CLAIBORNE CO LINE,Union,87000002,TDOT,TDOT,,173000002,ACTIVE,,,-83.76508785,36.34893495,1693,1803,1889,1945,2001,2050,2154,2348,1937,1852,1870,1926,1653,1994,2101,1867,1735,2149,2220,2271,2529,2882,2533,2582
1228,EAST OF HARRIMAN,Roane,73000009,TDOT,TDOT,,145000009,ACTIVE,,,-84.49126905,35.93508784,511,497,525,541,449,569,376,352,396,359,344,400,338,378,320,362,319,322,334,250,309,262,287,565
1230,NORTHEAST HARRIMAN,Roane,73000010,TDOT,TDOT,,145000010,ACTIVE,,,-84.53318506,35.95274884,1251,1028,1060,1167,1161,1195,1120,990,1117,1151,1115,989,953,1029,876,973,858,943,929,915,1259,851,932,916
4350,LENOIR CITY-SIMPSON RD NE OF SR-73,Loudon,53000135,TDOT,TDOT,,105000135,ACTIVE,,,-84.26305997,35.81890282,,2395,2467,2423,2389,2613,2691,2845,2930,1731,3400,3344,,1808,3838,3590,3382,3177,4227,3966,5259,3333,3586,3504
1274,BULLEN VAL-N. OF COFFERMAN CAMP,Grainger,29000009,TDOT,TDOT,,57000009,ACTIVE,,,-83.50638178,36.35468796,330,343,264,348,306,322,357,280,298,272,250,261,269,248,242,213,217,216,286,233,264,294,268,285
SR131,W. OF RED HILL,Grainger,29000010,TDOT,TDOT,,57000010,ACTIVE,,,-83.52615078,36.32139595,1277,1245,1188,1130,1244,1192,1242,1287,1220,1257,1280,1172,1186,1102,1349,1190,1240,1190,1202,1212,1150,1187,1213,1290
SR131,S. OF  WASHBURN,Grainger,29000011,TDOT,TDOT,,57000011,ACTIVE,,,-83.6038188,36.28610994,1598,1685,1528,1348,1336,1376,1523,1336,1434,1366,1358,1331,1487,1512,1350,1211,1396,1481,1533,1448,1544,1543,1577,1394
2479,LIBTY HILL-NW OF WASHBURN,Grainger,29000012,TDOT,TDOT,,57000012,ACTIVE,,,-83.5960378,36.30169294,1035,1122,1017,1058,1075,1060,981,1044,1026,890,942,953,1063,1072,906,981,1101,1077,1083,1193,1080,1095,989,1069
2544,DITCH VAL - N. OF LIBERTY HILL,Grainger,29000013,TDOT,TDOT,,57000013,ACTIVE,,,-83.60670881,36.32194195,294,302,234,301,254,259,228,208,181,159,174,163,169,174,138,229,127,136,152,163,156,167,171,167
1274,TATER VAL-NEAR UNION CO LINE,Grainger,29000015,TDOT,TDOT,,57000015,ACTIVE,,,-83.67948682,36.27566394,544,593,378,542,397,415,423,415,442,371,392,392,473,373,375,371,347,393,418,394,429,376,384,367
2471,MTN RD-NE OF POWDER SPRGS,Grainger,29000017,TDOT,TDOT,,57000017,ACTIVE,,,-83.65270982,36.25372293,397,396,363,386,377,415,470,406,390,380,385,355,376,375,343,308,373,368,399,399,401,362,312,332
1213,IND RG RD - NEAR JEFFERSON CO LINE,Grainger,29000060,TDOT,TDOT,,57000060,ACTIVE,,,-83.59407579,36.17712592,563,759,659,690,700,721,767,1022,1094,933,1027,993,976,998,1020,879,955,1009,1053,1155,1202,1211,1116,1256
Howard Jones Rd,S of Hillcrest Ave,Blount,5000058,TDOT,TDOT,,9000058,ACTIVE,,Howard Jones Rd,-83.99991689,35.74008281,2028,2237,2405,2477,2329,2399,2419,2257,2212,1949,1849,1919,1835,2022,2105,2011,2041,1662,1630,1479,1494,1239,1384,1514
E Broadway SR 33 US 411,S of Montgomery Ln,Blount,5000057,TDOT,TDOT,,9000057,ACTIVE,,Broadway Ave (E) (SR 33),-83.99245089,35.73592881,24672,25645,22837,29669,29844,30739,32760,29691,31954,30940,29938,30744,34367,36064,34724,35895,38541,37734,37789,38021,38646,39419,42375,44663
Sandy Springs Rd,N of Mize Ln,Maryville,5000181,TDOT,TDOT,,9000181,ACTIVE,,Sandy Springs Rd,-83.99190689,35.72786081,7771,8779,9072,8831,9171,9681,9797,9354,9460,8677,8851,8961,8848,8736,8961,9956,8697,9223,9992,9819,9506,9262,9305,10368
Montvale Station Rd,N of Dunbarton Dr,Blount,5000134,TDOT,TDOT,,9000134,ACTIVE,,Montvale Station Rd,-83.97885588,35.73261681,7801,7958,7030,7713,8626,9061,7341,8165,7380,7428,8076,7534,7070,6869,7368,7672,6918,7593,7368,6681,7927,7136,6933,8620
Pleasant Hill Rd,E of Old Whetzell Rd,Alcoa,5000141,TDOT,TDOT,,9000141,ACTIVE,,Pleasant Hill Rd,-83.93026987,35.73621882,612,625,529,699,643,677,701,666,595,561,580,628,558,566,524,528,646,592,689,591,645,604,605,561
Sr 115 US 129 Bypass,N of Broadway,Blount,5000089,TDOT,TPO,,9000089,ACTIVE,,US 129 Bypass,-83.99349572,35.74467421,25358,28112,23188,24177,25168,26628,27085,25851,27031,25149,24863,25310,25997,26931,27059,27235,26954,27279,27226,31522,31261,31886,29357,29739
Wildwood Rd,E/W Luther Rd,Blount,5000025,TDOT,TDOT,,9000025,ACTIVE,,Wildwood Rd,-83.93364287,35.78675083,3366,3089,3402,3752,3521,3719,3446,3671,3336,3344,3721,3624,3330,3250,3529,3470,3287,3400,4000,3527,3926,3796,3992,4101
Brown School Rd,W of Radnor Rd,Blount,5000129,TDOT,TDOT,,9000129,ACTIVE,,Brown School Rd,-83.94028787,35.77416082,4307,3748,4220,4219,4686,4940,4440,4575,4578,4263,4448,4523,4460,3570,4622,3997,4205,4379,4717,4300,4592,3957,4676,4956
Cheltenhan Rd,S of Brown School Rd,Maryville,5000152,TDOT,TDOT,,9000152,ACTIVE,,Cheltenhan Rd,-83.94695588,35.77372382,582,638,637,595,533,603,588,589,560,579,609,635,551,570,520,555,551,566,582,515,564,494,522,592
Sevierville Rd SR 35,W of Dogwood Dr,Blount,5000042,TDOT,TDOT,,9000042,ACTIVE,,Sevierville Rd (SR 35),-83.94595688,35.76274982,10136,12011,10972,11746,11658,11901,12568,11715,11363,11500,11818,11270,11569,11559,11906,9897,10758,12360,12636,11611,13207,10306,11231,12367
Meritt Rd,S of Sevierville Rd,Maryville,5000142,TDOT,TDOT,,9000142,ACTIVE,,Meritt Rd,-83.93577787,35.76475382,1250,1272,1361,1621,1736,1624,1619,1664,1581,1645,1688,1609,1464,1401,1505,1390,1424,1593,1610,1518,1611,1311,1416,1677
Old Knoxville Hwy SR 33,N of Little Brook Circle,Maryville,5000173,TDOT,TDOT,,9000173,ACTIVE,,Old Knoxville Hwy SR 33,-83.94118488,35.84139884,6086,6260,6459,6932,7457,8106,7670,7098,6727,6281,6963,7173,5605,6234,5973,6659,6635,7034,7643,7987,7741,6160,6242,7773
W Lamar Alexander Pkwy US 321,W of Pershing St,Maryville,5000092,TDOT,TPO,,9000092,ACTIVE,,Lamar Alexander Pkwy (W)  US 321,-83.98570049,35.75154178,23440,23230,22037,23029,25761,26388,26208,24197,23555,22877,24451,22055,23165,22740,23422,22931,23610,23846,23940,23261,21010,21255,21257,25500
SR095,N.W. OF GREENBACK,Loudon,53000040,TDOT,TDOT,,105000040,ACTIVE,,,-84.19884195,35.67752379,972,993,1002,1144,1110,1109,1145,1146,1100,1005,1200,1113,,1131,1194,1050,1033,1193,1109,1293,1200,1081,1143,1421
1216,EAST OF GREENBACK,Loudon,53000041,TDOT,TDOT,,105000041,ACTIVE,,,-84.16159193,35.66653279,1749,1460,1535,1511,1400,1414,1456,1376,1273,1196,1294,1174,,1147,1304,1217,1246,1263,1379,1389,1171,1264,1536,1501
1216,WEST OF GREENBACK,Loudon,53000042,TDOT,TDOT,,105000042,ACTIVE,,,-84.18159094,35.65628679,1114,1026,1056,1104,1131,1091,1172,1306,1031,1106,1280,1216,,1260,1228,1234,1294,1306,1340,1360,1258,1296,1394,863
SR095,SOUTH OF GREENBACK,Loudon,53000043,TDOT,TDOT,,105000043,ACTIVE,,,-84.15352493,35.65015279,2711,2605,2649,2859,2975,2901,2843,3018,3109,2829,3400,2926,,3360,3300,3074,2854,3047,3256,3096,2873,2795,2853,2953
Calderwood Hwy SR 72 US 321,E of Knucklehead Ln,Blount,5000075,TDOT,TDOT,,9000075,ACTIVE,,Calderwood Hwy (SR 115 & US 129),-84.09077491,35.55458477,673,762,801,933,1055,805,1015,798,1017,905,1028,1049,1074,1160,980,993,1132,1126,1086,1044,1310,978,1179,1390
Happy Valley Rd,N of US 129 Calderwood Hwy,Blount,5000087,TDOT,TDOT,,9000087,ACTIVE,,Happy Valley Rd,-84.00429188,35.56402478,209,228,238,208,314,306,320,128,144,136,188,194,131,139,115,146,156,158,152,138,146,138,153,161
Four Mile Rd,E of Bob Irwin Rd,Maryville,5000155,TDOT,TDOT,,9000155,ACTIVE,,Four Mile Rd,-84.08370691,35.59244178,209,306,306,325,248,307,250,240,240,270,280,308,260,385,388,297,223,225,253,188,233,179,188,222
Sixmile Rd,E of Tipton Loop Rd,Maryville,5000077,TDOT,TDOT,,9000077,ACTIVE,,Sixmile Rd,-84.03090689,35.62180179,749,809,696,706,836,736,744,691,677,761,708,613,687,660,599,642,648,628,743,704,650,610,550,661
Sixmile Rd,W of Montvale Rd,Alcoa,5000078,TDOT,TDOT,,9000078,ACTIVE,,Sixmile Rd,-83.97137288,35.6563238,1230,1476,1474,1260,1524,1569,1491,1494,1539,1299,1323,1314,1364,1357,1243,1168,1175,1156,1122,1278,1218,1190,1349,1376
Montvale Rd,S of Deer Run Dr,Blount,5000079,TDOT,TDOT,,9000079,ACTIVE,,Montvale Rd,-83.95086387,35.6516248,549,592,655,649,669,689,773,701,660,606,662,704,608,655,646,634,658,665,554,710,602,609,704,788
Old Piney Rd,W of Floyd Lambert Rd,Blount,5000080,TDOT,TDOT,,9000080,ACTIVE,,Old Piney Rd,-83.95280387,35.6646188,614,678,649,703,720,737,529,555,593,558,558,557,505,534,514,508,576,610,616,500,501,492,540,503
Morganton Rd,E of Lou Goodard Ln,Blount,5000061,TDOT,TDOT,,9000061,ACTIVE,,Morganton Rd,-84.13253793,35.67166079,1370,1728,1445,1746,1718,1769,1820,1292,1265,1179,1298,1263,1242,1169,1070,1157,1080,1091,1303,1129,1161,1208,1294,1364
Calderwood Hwy SR 115,W of Calderwood Dam Rd,Blount,5000088,TDOT,TDOT,,9000088,ACTIVE,,Calderwood Hwy ,-83.98129787,35.50379176,565,626,717,1159,823,878,959,1022,953,844,1024,1055,1265,1401,1069,1057,1176,1230,1289,1076,1460,991,1428,1442
Cusick Rd,E of Tarbett Rd,Blount,5000121,TDOT,TDOT,,9000121,ACTIVE,,Cusick Rd,-83.96695588,35.82154483,6109,6064,6025,6603,5870,6046,5795,5968,4037,4161,4097,3793,4070,4368,4160,4771,4688,4739,4914,5425,5375,3834,4322,5028
W Hunt Rd ,W of Ambrose Rd,Blount,5000012,TDOT,TDOT,,9000012,ACTIVE,,Hunt Rd (W),-83.99557389,35.79563183,5474,5135,5243,6510,6194,7073,7078,7267,8350,6877,7126,7080,6929,7534,7378,7960,7751,8501,10720,8234,9220,6110,6568,7940
I-40 Ramp,,Jefferson,45000004R,TDOT,TDOT,,45000004R,ACTIVE,,I-40 Ramp,-83.53259076,36.00803789,,,,,,,,,,,,,,,,,,,,2575,2991,2412,2925,2038
I-40 Ramp,,Jefferson,45000002R,TDOT,TDOT,,45000002R,ACTIVE,,I-40 Ramp,-83.52735676,36.00775689,,,,,,,,,,,,,,,,,,,,2573,2942,2884,3371,2519
I-40 Ramp,,Jefferson,45000003R,TDOT,TDOT,,45000003R,ACTIVE,,I-40 Ramp,-83.52853676,36.00949289,,,,,,,,,,,,,,,,,,,,2331,2883,2496,2816,1969
I-40 Ramp,,Jefferson,45000008R,TDOT,TDOT,,45000008R,ACTIVE,,I-40 Ramp,-83.48001375,36.02276289,,,,,,,,,,,,,,,,,,,,1475,1662,1131,1587,864
I-40 Ramp,,Jefferson,45000007R,TDOT,TDOT,,45000007R,ACTIVE,,I-40 Ramp,-83.47906975,36.02287189,,,,,,,,,,,,,,,,,,,,608,740,483,706,674
I-40 Ramp,,Jefferson,45000005R,TDOT,TDOT,,45000005R,ACTIVE,,I-40 Ramp,-83.47733175,36.02205689,,,,,,,,,,,,,,,,,,,,1932,2040,751,2022,1757
Concord Rd,N of Northshore Dr,Knox,093M378,TPO,TPO,,,INACTIVE,,Concord Rd,-84.14167226,35.86201012,,,,,,9330,,8430,10732,9750,13200,10690,9490,11990,12700,10160,12100,,,,,,,
I-275,S of I-640,Knox,47000250,TDOT,TPO,,93000250,ACTIVE,,I-275,-83.9537311,35.99705284,64240,59142,65740,62921,56612,60680,61488,58470,64392,61671,60336,59754,58964,58826,60304,58358,59992,60852,71126,73447,67702,60119,63125,54478
I-640,W of Hague Rd Overpass,Knox,47000251,TDOT,TPO,,93000251,ACTIVE,,I-640,-83.94212057,36.00792973,66494,67827,69542,72460,75248,75225,75027,73732,79379,70447,70354,68943,68732,74811,73239,75149,76232,78865,79350,82474,97988,87049,89826,98829
