PRIMARY_STREET,CROSS_STREET,CITY_COUNTY,STATIONID,AGENCY,LOCATION_SOURCE,NOTES,TDOT_ID,STATUS,PREVIOUS_STATION,PRIMARY_ST_ALPHABETICAL,Longitude,Latitude,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
1300,S. JEFFERSON CITY,Jefferson,45000019,TDOT,TDOT,,89000019,ACTIVE,,,-83.47033875,36.11411691,1029,1021,961,1149,932,931,1069,911,971,949,923,888,840,865,1014,1026,939,1009,910,849,844,820,942,845
2718,N.E. JEFFERSON CITY,Jefferson,45000020,TDOT,TDOT,,89000020,ACTIVE,,,-83.47957676,36.12713891,4037,4527,4063,4513,4896,5065,5123,5058,5329,5630,4654,4669,5298,5457,4715,5922,5397,5869,6210,7216,6598,6184,6853,5377
SR092,S. JEFFERSON CITY,Jefferson,45000021,TDOT,TDOT,,89000021,ACTIVE,,,-83.48813976,36.11080491,13138,15046,15205,14647,15280,13124,16018,15744,15795,14955,16034,15725,14004,15334,14044,14154,16996,15867,15419,14372,15635,13715,8507,16208
2548,JAXN HOL - NEAR HANCOCK CO LINE,Grainger,29000068,TDOT,TDOT,,57000068,ACTIVE,,,-83.35115673,36.40392897,81,63,100,95,97,93,90,88,95,74,69,67,65,69,58,65,70,72,74,59,67,49,49,60
SR061,W. OF BLAINE,Grainger,29000069,TDOT,TDOT,,57000069,ACTIVE,,,-83.72421883,36.15748691,,,,,,,1940,2002,2056,2118,1917,2158,2329,1977,1977,2120,2242,2546,2746,2912,3011,3304,2940,3132
SR131,S. OF RUTLEDGE (ATR 25),Grainger,25,TDOT,TDOT,This counter was given a local ID of 25 in 2020. Moved south to TDOT location in 2021,57000990,ACTIVE,,,-83.524724,36.247953,2255,2351,2693,2035,2198,2253,2058,2249,2012,2171,2251,2017,2026,1850,1909,2060,2350,2320,2092,,,1757,1853,1859
1230,SOUTH OLIVER SPRINGS,Roane,73000001,TDOT,TDOT,,145000001,ACTIVE,,,-84.35283601,36.03525186,2043,1805,1569,1616,1688,1773,1494,1278,1427,1293,1595,1295,1232,1173,1185,1182,1217,1229,1227,1270,1276,1122,1249,1228
SR061,SOUTHWEST OF OLIVER SPRINGS,Roane,73000002,TDOT,TDOT,,145000002,ACTIVE,,,-84.38633302,36.01079386,6807,6291,6691,6760,7100,7313,6143,6344,6610,6283,6462,6751,6762,5728,5490,5645,5375,5413,5467,5791,6103,5773,5469,6505
E. SR-160,,Hamblen,32000060,TDOT,TDOT,,63000060,ACTIVE,,,-83.19543557,36.18241848,28769,35108,27947,31058,33182,30994,34151,29966,29696,31944,39285,42189,27540,28525,29880,33157,31474,33445,34113,36416,40230,40945,45697,40997
BOGARD RD - SW OF SARDIS,,Cocke,15000042,TDOT,TDOT,,29000042,INACTIVE,,,-83.23848467,35.87319387,786,722,744,766,750,760,776,672,732,730,800,815,984,825,877,865,829,865,884,,,,,
NEWPORT,,Cocke,15000027,TDOT,TDOT,,29000027,INACTIVE,,,-83.17812266,35.94098888,2048,2021,2171,2280,2421,2385,2188,2364,2229,2288,2308,2353,2172,2268,2269,2300,2135,2220,2194,,,,,
SE OF MORRISTOWN,,Hamblen,32000031,TDOT,TDOT,,63000031,ACTIVE,,,-83.2586377,36.19735594,2363,2577,2307,2451,2115,2500,2081,2022,2017,1921,1937,1882,1796,1763,1867,1844,1862,1880,1863,1859,1839,1817,1669,1810
W. OF SILVER CITY,,Hamblen,32000035,TDOT,TDOT,,63000035,ACTIVE,,,-83.17453067,36.21595894,894,1130,1174,1093,1122,1249,1265,1350,1391,1237,1204,1404,1346,1452,1371,1460,1375,1388,1401,1674,1594,1512,1539,1744
SR363,SANDY RIDGE,Jefferson,45000073,TDOT,TDOT,,89000073,ACTIVE,,,-83.36785071,35.96471288,752,705,639,632,670,717,782,749,808,832,709,757,861,765,828,859,936,895,687,683,1115,640,784,682
SR092,S.E. OF DANDRIDGE,Jefferson,45000074,TDOT,TDOT,,89000074,ACTIVE,,,-83.40767873,36.00792489,2665,2464,2926,2506,2646,2850,2981,2795,2968,2698,2740,2663,2875,2918,2581,2743,2920,3032,3262,2910,3094,2556,3583,3200
SR139,DANDRIDGE,Jefferson,45000075,TDOT,TDOT,,89000075,ACTIVE,,,-83.43170874,36.00704989,3228,3271,2909,3042,3973,3625,4089,4019,3639,3510,3270,3783,3414,3961,3347,3621,4042,3600,3850,3932,3770,3346,4100,4389
1090,NEAR CLAIBORNE CO LINE,Union,87000049,TDOT,TDOT,,173000049,ACTIVE,,,-83.74410185,36.35313595,,2549,2570,2591,2991,2951,3132,3286,3024,2685,2597,2444,2420,2917,2985,2706,3042,2842,2870,3117,3381,3831,3286,3494
1345,EDWARDS HOLLOW RD-NEAR CLAIBORNE CO LINE,Union,87000050,TDOT,TDOT,,173000050,ACTIVE,,,-83.75261185,36.36852695,,239,337,435,533,549,249,258,242,201,180,203,186,185,222,186,196,208,195,184,202,230,137,192
4367,TERMINAL RD. - OAK RIDGE,Anderson,1000181,TDOT,TDOT,,1000181,ACTIVE,,,-84.24098098,36.02431186,,2591,2568,2644,2365,2392,2254,2321,2063,1916,2095,2018,1849,1746,1859,1939,2060,2014,2163,2180,2078,1869,1344,1310
1276,NEAR CLAIBORNE CO LINE,Union,87000051,TDOT,TDOT,,173000051,ACTIVE,,,-83.76078585,36.37021895,,,360,371,549,616,596,531,468,474,447,460,427,440,547,460,493,504,490,515,579,588,573,533
SR095,ELZA GATE - OAK RIDGE,Anderson,1000057,TDOT,TPO,,1000057,ACTIVE,,,-84.20757366,36.04746527,21851,21199,19982,20928,21207,22508,20453,20306,20896,23009,19389,19263,17124,18136,16999,18939,18979,20947,19971,18929,16999,22328,16980,18337
SR061,"NEAR ELZA, S OF CLINTON",Anderson,1000058,TDOT,TDOT,,1000058,ACTIVE,,,-84.20356797,36.06420887,7078,6963,6652,6422,6822,6808,5956,6602,6195,5863,6039,6151,6081,6049,5938,5842,5538,5631,5687,5618,6220,6326,6386,6464
2444,"NW DOSSETT, S OF CLINTON",Anderson,1000059,TDOT,TDOT,,1000059,ACTIVE,,,-84.22333597,36.06820987,1003,1032,1231,1137,956,1156,904,869,862,777,756,844,912,908,904,857,839,845,896,860,892,853,944,906
SR061,NEAR DOSSETT,Anderson,1000060,TDOT,TDOT,,1000060,ACTIVE,,,-84.23553898,36.05880387,4817,5213,4733,4745,4832,5086,4301,4656,4439,3819,3934,4535,4348,3980,4180,4247,4289,4259,4170,4239,3860,4050,4083,4615
2411,SW CLINTON,Anderson,1000061,TDOT,TDOT,,1000061,ACTIVE,,,-84.24681598,36.08235288,1212,1237,1075,1205,1234,1252,1233,1136,1083,1198,1269,1111,1140,1019,1057,1051,1062,1196,1041,1099,1229,1071,1248,1448
SR061,NEAR ROANE CO. - OAK RIDGE,Anderson,1000062,TDOT,TDOT,,1000062,ACTIVE,,,-84.29415899,36.02261386,4158,4881,4680,4858,4537,4763,4235,4362,5002,4558,4700,4485,4496,4455,4654,4507,4733,4123,4588,4950,4497,4973,4843,4549
SR062,NEAR ROANE CO. - OAK RIDGE,Anderson,1000063,TDOT,TPO,,1000063,ACTIVE,,,-84.28729414,36.01950351,19365,21473,19539,20539,20149,22254,19814,22455,21047,19316,19584,17962,16226,17190,17479,16378,18225,19872,18506,19220,18483,18960,17611,17646
SR330,E OLIVER SPRINGS,Anderson,1000065,TDOT,TDOT,,1000065,ACTIVE,,,-84.311099,36.05371087,1457,1622,1569,1635,1589,1603,1637,1633,1532,1642,1860,1650,1535,1529,1440,1310,1384,1583,1380,1597,1529,1428,1595,1453
Essary Rd,E of Jacksboro Pk,Knox,093C390,Knoxville,TPO,,,INACTIVE,,Essary Rd,-83.92112336,36.03902951,,3374,,3266,,3549,,3156,,3323,,,,,,,,,,,,,,
Briercliff Rd,N of Tazewell Pk,Knox,093C379,Knoxville,TPO,,,INACTIVE,,Briercliff Rd,-83.91266541,36.03903592,,4075,,3686,,3803,,3752,,3604,,,,,,,,,,,,,,
Beverly Rd,S of Tazewell Pk,Knox,093C380,Knoxville,TPO,,,INACTIVE,,Beverly Rd,-83.90856379,36.03955631,,5240,,4787,,4891,,4833,,4855,,,,,,,,,,,,,,
Villa Rd,N of Tazewell Pk,Knox,093C381,Knoxville,TPO,,,INACTIVE,,Villa Rd,-83.90662935,36.04520892,,2089,,2209,,2517,,2535,,2332,,,,,,,,,,,,,,
Shannondale Rd,N of Tazewell Pk,Knox,093C382,Knoxville,TPO,,,INACTIVE,,Shannondale Rd,-83.90337501,36.04744209,,1918,,1732,,1969,,2287,,2025,,,,,,,,,,,,,,
Fulton Dr,E of Villa Rd,Knox,093C385,Knoxville,TPO,,,INACTIVE,,Fulton Dr,-83.91180604,36.05408326,,574,,503,,7060,,8122,,8280,,,,,,,,,,,,,,
W Beaver Creek Dr,E of Clinton Hwy,Knox,093M090,TPO,TPO,,,REPLACED,,Beaver Creek Dr (W),-84.03477751,36.01623551,6281,6490,6370,5950,5960,6300,6622,6510,7340,6700,7420,7360,7420,7430,7520,8340,6110,5600,5640,,,,,
Gresham Rd,S of Grove Rd,Knox,093C397,Knoxville,TPO,,,INACTIVE,,Gresham Rd,-83.93601837,36.04081096,,2804,,1506,,2671,,,2626,2980,,,,,,,,,,,,,,
Colonial Dr,W of Broadway,Knox,093C396,Knoxville,TPO,,,INACTIVE,,Colonial Dr,-83.9306531,36.03933554,,1065,,1102,,1170,,,1419,1087,,,,,,,,,,,,,,
